reporting_date,country,country_code,product_category,growth_scale,new_users,users_base,pct_of_users_purchase,orders,revenue_eur,return_rate
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"Hair Loss",0.15,1,1,0.2,0,0.0,0.05
2022-01-01,Belgium,BE,"Hair Loss",0.15,0,0,0.28,0,0.0,0.12
2022-01-01,Germany,DE,"Hair Loss",0.15,1,1,0.28,0,0.0,0.04
2022-01-01,Netherlands,NL,"Hair Loss",0.15,1,1,0.27,0,0.0,0.04
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"Skin Care",0.15,1,1,0.22,0,0.0,0.05
2022-01-01,Belgium,BE,"Skin Care",0.15,0,0,0.29,0,0.0,0.15
2022-01-01,Germany,DE,"Skin Care",0.15,1,1,0.21,0,0.0,0.05
2022-01-01,Netherlands,NL,"Skin Care",0.15,1,1,0.28,0,0.0,0.02
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"Weight Loss",0.15,2,2,0.21,0,0.0,0.04
2022-01-01,Belgium,BE,"Weight Loss",0.15,1,1,0.29,0,0.0,0.13
2022-01-01,Germany,DE,"Weight Loss",0.15,5,5,0.27,1,267.5,0.05
2022-01-01,Netherlands,NL,"Weight Loss",0.15,2,2,0.27,1,250.0,0.03
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"Vitamins and supplements",0.15,1,1,0.22,0,0.0,0.05
2022-01-01,Belgium,BE,"Vitamins and supplements",0.15,0,0,0.24,0,0.0,0.15
2022-01-01,Germany,DE,"Vitamins and supplements",0.15,2,2,0.2,0,0.0,0.03
2022-01-01,Netherlands,NL,"Vitamins and supplements",0.15,1,1,0.22,0,0.0,0.04
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"First aid supplies",0.15,2,2,0.27,1,7.275,0.05
2022-01-01,Belgium,BE,"First aid supplies",0.15,0,0,0.2,0,0.0,0.13
2022-01-01,Germany,DE,"First aid supplies",0.15,2,2,0.27,1,6.825,0.04
2022-01-01,Netherlands,NL,"First aid supplies",0.15,1,1,0.23,0,0.0,0.03
2022-01-01,"United Kingdom of Great Britain and Northern Ireland",GB,"Home health care equipment",0.15,1,1,0.23,0,0.0,0.04
2022-01-01,Belgium,BE,"Home health care equipment",0.15,1,1,0.24,0,0.0,0.1
2022-01-01,Germany,DE,"Home health care equipment",0.15,1,1,0.25,0,0.0,0.04
